Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_obvm,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
2008-01-02,7.794289999999999,8.12664,7.72532,7.844469999999999,4.781642,3836387,0.0,0,0.0,0.0,0.0,0.0,0.0,1000.0,0.15288895039539896,7.846095109577096,5.860083890422905,6.8530895,0.0,0.0,7.264018,7.685397999999999,6.842637999999999,0.0,0.0,7.844469999999999,6.026,0.0,0.0,0.0,0.0,0.0,7.844469999999999,7.844469999999999,0.0,1.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,6.692247500000001,6.947775,0.0,0.0,0.0,50.0,50.0,0.0,50.0,50.0,50.0,-50.0,0.0,0.0,0.0,0.0
2008-01-03,7.813110000000001,7.9009,7.5811,7.63126,4.651679,3190504,-3748032.343818151,-3190504,0.0,0.0,0.0,0.0,0.0,972.8203435031303,0.164811168224299,7.846095109577096,5.860083890422905,6.8530895,0.0,0.0,7.264018,7.685397999999999,6.842637999999999,0.0,0.0,7.844469999999999,6.026,0.0,0.0,-0.004783557692307205,-0.0026575320512817807,-0.0021260256410254247,7.7289812499999995,7.733764807692307,0.0,1.0,1.0,0.0,-0.4123254555969546,25.0,0.0,0.0,0.0,0.0,0.0,6.692247500000001,6.947775,0.0,0.0,0.0,0.0,50.0,-100.0,50.0,50.0,50.0,-50.0,0.0,-2.717965649686971,-2.755585567070895,-2.717965649686971
2008-01-04,7.59364,7.662610000000001,7.1547,7.29893,4.449104,2918506,-3450638.9897155766,-2918506,0.0,0.0,500740.8007399991,0.0,-213813.38957144727,930.4554673547099,0.1893182276368491,7.846095109577096,5.860083890422905,6.8530895,0.0,0.0,7.264018,7.685397999999999,6.842637999999999,0.0,0.0,7.844469999999999,6.026,0.0,0.0,-0.016400735387686716,-0.008289992435054294,-0.008110742952632422,7.5611321478060045,7.577532883193691,0.0,1.0,1.0,0.0,-0.5348176795905143,25.0,0.0,0.0,0.0,0.0,0.0,6.692247500000001,6.947775,0.0,0.0,0.0,0.0,50.0,-100.0,50.0,50.0,50.0,-50.0,0.0,-4.3548509682542536,-4.452520720866526,-6.954453264529015
2008-01-07,7.22368,7.29893,6.791010000000001,6.922689999999999,4.264066000000001,2735539,-2578126.8100788463,-2735539,0.0,0.0,322374.55005000037,0.0,-268106.18592710234,882.4930173740228,0.21207549709135984,7.846095109577096,5.860083890422905,6.8530895,0.0,0.0,7.264018,7.685397999999999,6.842637999999999,0.0,0.0,7.844469999999999,6.026,0.0,0.0,-0.034866517055109014,-0.01729288017897527,-0.017573636876133746,7.3596009123563215,7.3944674294114305,0.0,1.0,1.0,0.0,-0.6531058511712593,25.0,0.0,0.0,0.0,0.0,0.0,6.692247500000001,6.947775,0.0,0.0,0.0,0.0,50.0,-100.0,50.0,50.0,50.0,-50.0,0.0,-5.154728158784927,-5.29233396506672,-11.750698262597725
2008-01-08,6.928960000000001,7.0042,6.6029,6.7722,4.171371,3719810,-1898334.6316560283,-3719810,0.0,0.0,-422070.85592000047,0.0,-221873.2817278044,882.4930173740228,0.22559153301340557,7.846095109577096,5.860083890422905,6.8530895,0.0,0.0,7.264018,7.685397999999999,6.842637999999999,0.0,0.0,7.844469999999999,6.026,0.0,0.0,-0.050154862101094544,-0.02706857684785892,-0.023086285253235625,7.200006183826257,7.250161045927351,0.0,1.0,1.0,0.0,-0.7172819887733334,25.0,0.0,0.0,0.0,0.0,0.0,6.692247500000001,6.947775,0.0,0.0,0.0,0.0,50.0,-100.0,50.0,50.0,50.0,-50.0,0.0,-2.17386593939638,-2.197842521049864,-13.669119774822258
2008-01-09,6.76593,7.11707,6.6029,6.89761,4.248619000000001,4042344,10415.29420058115,4042344,0.0,0.0,-32774.66939999883,0.0,-6006.123603184111,882.4930173740228,0.24620428065530517,7.846095109577096,5.860083890422905,6.8530895,0.0,0.0,7.264018,7.685397999999999,6.842637999999999,0.0,0.0,7.844469999999999,6.026,0.0,0.0,-0.05303988112201363,-0.034108244282739085,-0.018931636839274547,7.12650800215236,7.179547883274374,0.0,1.0,1.0,0.0,-0.7148934921041532,25.0,0.0,0.0,0.0,0.0,0.0,6.692247500000001,6.947775,0.0,0.0,0.0,14.331695625779716,50.0,-95.20354863361715,50.0,50.0,50.0,-50.0,0.0,1.851835444907124,1.8348977581817083,-12.070413934912105
2008-01-10,7.02302,7.3679,6.96658,7.2550300000000005,4.468771,3439666,2096481.9420300403,3439666,0.0,0.0,-135261.9275200002,0.0,253093.99476540805,928.2219951315103,0.26221040346564045,7.846095109577096,5.860083890422905,6.8530895,0.0,0.0,7.264018,7.685397999999999,6.842637999999999,0.0,0.0,7.844469999999999,6.026,0.0,0.0,-0.037784750137201506,-0.035038669834252266,-0.00274608030294924,7.155187236307904,7.192971986445105,0.0,1.0,1.0,0.0,-0.6469620805698079,25.0,0.0,0.0,0.0,0.0,0.0,6.692247500000001,6.947775,0.0,0.0,0.0,41.77350802592849,50.0,-82.74216269241282,50.0,50.0,50.0,-50.0,0.0,5.181794853579724,5.052004661754195,-7.514083169417418
2008-01-11,7.28012,7.59991,7.2550300000000005,7.44942,4.588508999999999,3085082,1897577.4009037302,3085082,0.0,0.0,-528226.7442199998,0.0,260897.58120535905,953.0926122941704,0.2681153746466661,7.846095109577096,5.860083890422905,6.8530895,0.0,0.0,7.264018,7.685397999999999,6.842637999999999,0.0,0.0,7.844469999999999,6.026,0.0,0.0,-0.01770303673159379,-0.030872591203030684,0.013169554471436893,7.216589079049625,7.234292115781219,0.0,1.0,1.0,0.0,-0.5497005615311219,25.0,0.0,0.0,0.0,0.0,0.0,6.692247500000001,6.947775,0.0,0.0,0.0,51.51906347314343,50.0,-71.34760987134958,50.0,50.0,50.0,-50.0,0.0,2.679382442250411,2.644115560496574,-5.036031752304481
2008-01-14,7.48077,7.518389999999999,7.324,7.3490899999999995,4.526708999999999,2912574,-1768017.5707264608,-2912574,0.0,0.0,-49578.273519999435,0.0,43434.12515625384,940.2562059979118,0.2628492764576185,7.846095109577096,5.860083890422905,6.8530895,0.0,0.0,7.264018,7.685397999999999,6.842637999999999,0.0,0.0,7.844469999999999,6.026,0.0,0.0,-0.00850520505770902,-0.025705614038286508,0.017200408980577488,7.242802477315456,7.251307682373165,0.0,1.0,1.0,0.0,-0.46140492430348157,25.0,0.0,0.0,0.0,0.0,0.0,6.692247500000001,6.947775,0.0,0.0,0.0,46.84930984756663,50.0,-64.12681071125871,50.0,50.0,50.0,-50.0,0.0,-1.3468162622056523,-1.3559680975919308,-6.315021919900266
2008-01-15,7.3490899999999995,7.3679,6.74711,6.784739999999999,4.179094999999999,2961674,-4763342.162090031,-2961674,-787151.5,0.0,82026.82944000007,0.0,-266659.3584205979,940.2562059979118,0.28841647099636003,7.846095109577096,5.860083890422905,6.8530895,0.0,0.0,7.264018,7.685397999999999,6.842637999999999,0.0,0.0,7.844469999999999,6.026,0.0,0.0,-0.03092606727570768,-0.026875298610363394,-0.004050768665344286,7.1559998158875935,7.186925883163301,0.0,1.0,1.0,0.0,-0.4220285421090124,25.0,0.0,0.0,0.0,0.0,0.0,6.692247500000001,6.947775,0.0,0.0,0.0,29.496693434242903,50.0,-60.7302062114029,50.0,50.0,50.0,-50.0,0.0,-7.679182048389666,-7.990052330643405,-13.509261938665073
